"","Vehicle.brand","location","style","gear","time","kilometres","price","original.price","hedge.ratio","group1","group2"
"1","其他","外国","2007款","自动",49.7,1.1,59.5,132.4,0.45,"小于10万","高级轿车"
"2","其他","外国","2010款","自动",69.0333333333333,5.8,60,151.7,0.4,"小于10万","高级轿车"
"3","其他","外国","2010款","自动",69.0333333333333,5.8,60,151.7,0.4,"小于10万","高级轿车"
"4","其他","外国","2011款","自动",26.3666666666667,2.9,48,71.4,0.67,"小于10万","高级轿车"
"5","其他","外国","2011款","自动",26.3666666666667,2.9,48,71.4,0.67,"小于10万","高级轿车"
"6","其他","外国","2011款","自动",42.6333333333333,5,41.5,71.4,0.58,"小于10万","高级轿车"
"7","其他","外国","2011款","自动",37.5333333333333,5.3,42.5,71.4,0.6,"小于10万","高级轿车"
"8","其他","外国","2011款","自动",37.5333333333333,5.3,42.5,71.4,0.6,"小于10万","高级轿车"
"9","其他","外国","2010款","自动",83.2333333333333,4.3,100,358,0.28,"小于10万","高级轿车"
"10","其他","外国","2013款","自动",49.7,4.1,75,154.2,0.49,"小于10万","高级轿车"
"11","其他","外国","2013款","自动",42.6333333333333,5.9,64,114.8,0.56,"小于10万","高级轿车"
"12","其他","外国","2013款","自动",42.6333333333333,5.9,64,114.8,0.56,"小于10万","高级轿车"
"13","其他","外国","2012款","自动",55.8,9.3,95,187.6,0.51,"小于10万","高级轿车"
"14","其他","外国","2012款","自动",55.8,9.3,95,187.6,0.51,"小于10万","高级轿车"
"15","其他","外国","2010款","自动",78.1333333333333,12,60,151.7,0.4,"大于或等于10万","高级轿车"
"16","其他","外国","2010款","自动",78.1333333333333,12,60,151.7,0.4,"大于或等于10万","高级轿车"
"17","其他","外国","2010款","自动",52.7333333333333,8,80,171.5,0.47,"小于10万","高级轿车"
"18","其他","外国","2014款","自动",20.3333333333333,0.5,135,160.6,0.84,"小于10万","高级轿车"
"19","其他","外国","2012款","自动",52.7333333333333,4.3,83,238.6,0.35,"小于10万","高级轿车"
"20","其他","外国","2012款","自动",52.7333333333333,4.3,83,238.6,0.35,"小于10万","高级轿车"
"21","其他","外国","2012款","自动",49.7,4.3,120,183.2,0.66,"小于10万","高级轿车"
"22","其他","外国","2012款","自动",61.9,6.1,90,238.6,0.38,"小于10万","高级轿车"
"23","其他","外国","2010款","自动",41.6,5.5,48,62.7,0.77,"小于10万","中高级轿车"
"24","其他","外国","2010款","自动",77.1,5.7,55,93.1,0.59,"小于10万","中高级轿车"
"25","其他","外国","2010款","自动",77.1,5.7,55,93.1,0.59,"小于10万","中高级轿车"
"26","其他","外国","2007款","自动",103.5,10.6,29,55.3,0.52,"大于或等于10万","中高级轿车"
"27","其他","外国","2007款","自动",103.5,10.6,29,55.3,0.52,"大于或等于10万","中高级轿车"
"28","其他","外国","2010款","自动",49.7,1.9,95,217.5,0.44,"小于10万","中高级轿车"
"29","其他","外国","2011款","自动",59.8333333333333,9.9,76,167.4,0.45,"小于10万","中高级轿车"
"30","其他","外国","2012款","自动",46.7,1.2,78,130,0.6,"小于10万","中高级轿车"
"31","其他","外国","2013款","自动",46.7,2,69.8,204.9,0.34,"小于10万","中高级轿车"
"32","其他","外国","2013款","自动",46.7,2,69.8,204.9,0.34,"小于10万","中高级轿车"
"33","其他","外国","2014款","自动",17.2666666666667,0.4,35,43.4,0.81,"小于10万","中高级轿车"
"34","其他","外国","2014款","自动",19.3,1,36.5,43.4,0.84,"小于10万","中高级轿车"
"35","其他","外国","2014款","自动",33.5,1.1,32.98,43.4,0.76,"小于10万","中高级轿车"
"36","其他","外国","2013款","自动",40.5666666666667,1.6,27.3,51,0.54,"小于10万","中高级轿车"
"37","其他","外国","2013款","自动",40.5666666666667,1.6,27.3,51,0.54,"小于10万","中高级轿车"
"38","其他","外国","2013款","自动",40.5666666666667,2,30,51,0.59,"小于10万","中高级轿车"
"39","其他","外国","2013款","自动",40.5666666666667,2,30,51,0.59,"小于10万","中高级轿车"
"40","其他","外国","2013款","自动",32.5,2,24.5,38.9,0.63,"小于10万","中高级轿车"
"41","其他","外国","2013款","自动",32.5,2,24.5,38.9,0.63,"小于10万","中高级轿车"
"42","宝马5系","外国","2012款","自动",54.8,2.1,33.2,60.7,0.55,"小于10万","中高级轿车"
"43","其他","外国","2013款","自动",37.5333333333333,2.2,24.5,35.7,0.69,"小于10万","中高级轿车"
"44","其他","外国","2014款","自动",23.3,2.5,29.8,40.2,0.74,"小于10万","中高级轿车"
"45","其他","外国","2014款","自动",23.3,2.5,29.8,40.2,0.74,"小于10万","中高级轿车"
"46","其他","外国","2013款","自动",26.3666666666667,2.5,38,47.5,0.8,"小于10万","中高级轿车"
"47","其他","外国","2013款","自动",26.3666666666667,2.5,38,47.5,0.8,"小于10万","中高级轿车"
"48","其他","外国","2013款","自动",42.6333333333333,3.4,29.8,54.1,0.55,"小于10万","中高级轿车"
"49","其他","外国","2013款","自动",42.6333333333333,3.4,29.8,54.1,0.55,"小于10万","中高级轿车"
"50","其他","外国","2012款","自动",46.7,3.5,59,100.9,0.58,"小于10万","中高级轿车"
"51","其他","外国","2012款","自动",46.7,3.5,59,100.9,0.58,"小于10万","中高级轿车"
"52","其他","外国","2014款","自动",34.5333333333333,3.6,45,62.9,0.72,"小于10万","中高级轿车"
"53","宝马5系","外国","2012款","自动",54.8,3.7,35,68.3,0.51,"小于10万","中高级轿车"
"54","宝马5系","外国","2012款","自动",54.8,3.7,35,68.3,0.51,"小于10万","中高级轿车"
"55","其他","外国","2013款","自动",50.7,3.7,30,52.6,0.57,"小于10万","中高级轿车"
"56","其他","外国","2013款","自动",50.7,3.7,30,52.6,0.57,"小于10万","中高级轿车"
"57","其他","外国","2012款","自动",60.8666666666667,4.1,49.8,125.7,0.4,"小于10万","中高级轿车"
"58","其他","外国","2012款","自动",60.8666666666667,4.1,49.8,125.7,0.4,"小于10万","中高级轿车"
"59","宝马5系","外国","2013款","自动",45.6666666666667,4.1,34,60.7,0.56,"小于10万","中高级轿车"
"60","宝马5系","外国","2013款","自动",45.6666666666667,4.1,34,60.7,0.56,"小于10万","中高级轿车"
"61","宝马5系","外国","2013款","自动",49.7,4.4,33,60.7,0.54,"小于10万","中高级轿车"
"62","宝马5系","外国","2013款","自动",49.7,4.4,33,60.7,0.54,"小于10万","中高级轿车"
"63","其他","外国","2014款","自动",24.3333333333333,4.4,30,40.2,0.75,"小于10万","中高级轿车"
"64","其他","外国","2014款","自动",24.3333333333333,4.4,30,40.2,0.75,"小于10万","中高级轿车"
"65","其他","外国","2013款","自动",36.5,4.8,59.8,111.1,0.54,"小于10万","中高级轿车"
"66","其他","外国","2013款","自动",42.6333333333333,4.9,53,100.7,0.53,"小于10万","中高级轿车"
"67","其他","外国","2013款","自动",42.6333333333333,4.9,53,100.7,0.53,"小于10万","中高级轿车"
"68","宝马5系","外国","2014款","自动",37.5333333333333,5.1,40,69.8,0.57,"小于10万","中高级轿车"
"69","宝马3系","外国","2011款","自动",59.8333333333333,5.2,25.3,69.9,0.36,"小于10万","中高级轿车"
"70","宝马3系","外国","2011款","自动",59.8333333333333,5.2,25.3,69.9,0.36,"小于10万","中高级轿车"
"71","奔驰C级","外国","2013款","自动",47.6333333333333,5.3,25.8,50.8,0.51,"小于10万","中高级轿车"
"72","其他","外国","2008款","自动",94.3666666666667,5.5,10.8,38.4,0.28,"小于10万","中高级轿车"
"73","其他","外国","2008款","自动",94.3666666666667,5.5,10.8,38.4,0.28,"小于10万","中高级轿车"
"74","其他","外国","2014款","自动",30.4666666666667,5.6,31.8,43.4,0.73,"小于10万","中高级轿车"
"75","其他","外国","2014款","自动",30.4666666666667,5.6,31.8,43.4,0.73,"小于10万","中高级轿车"
"76","其他","外国","2012款","自动",52.7333333333333,5.7,29.8,44.3,0.67,"小于10万","中高级轿车"
"77","其他","外国","2012款","自动",60.8666666666667,5.8,30.5,63.8,0.48,"小于10万","中高级轿车"
"78","宝马5系","外国","2013款","自动",49.7,5.8,35.2,60.7,0.58,"小于10万","中高级轿车"
"79","宝马5系","外国","2013款","自动",49.7,5.8,35.2,60.7,0.58,"小于10万","中高级轿车"
"80","其他","外国","2011款","自动",78.1333333333333,6.3,28,53.7,0.52,"小于10万","中高级轿车"
"81","其他","外国","2013款","自动",39.5666666666667,6.3,34,45.4,0.75,"小于10万","中高级轿车"
"82","其他","外国","2010款","自动",83.2333333333333,6.4,13.5,32.4,0.42,"小于10万","中高级轿车"
"83","其他","外国","2013款","自动",36.5,6.4,33.8,48.7,0.69,"小于10万","中高级轿车"
"84","其他","外国","2011款","自动",65.9666666666667,6.5,28.1,53.7,0.52,"小于10万","中高级轿车"
"85","其他","外国","2010款","自动",53.7666666666667,6.7,38,75.8,0.5,"小于10万","中高级轿车"
"86","其他","外国","2011款","自动",68,6.7,25,48.6,0.51,"小于10万","中高级轿车"
"87","其他","外国","2012款","自动",57.8333333333333,7.6,30,72.3,0.41,"小于10万","中高级轿车"
"88","其他","外国","2011款","自动",58.8666666666667,7.7,23.5,42.1,0.56,"小于10万","中高级轿车"
"89","其他","外国","2011款","自动",58.8666666666667,7.7,23.5,42.1,0.56,"小于10万","中高级轿车"
"90","其他","外国","2009款","自动",83.2333333333333,7.8,19,52.5,0.36,"小于10万","中高级轿车"
"91","其他","外国","2009款","自动",83.2333333333333,7.8,19,52.5,0.36,"小于10万","中高级轿车"
"92","其他","外国","2012款","自动",40.5666666666667,8,67,100.9,0.66,"小于10万","中高级轿车"
"93","其他","外国","2012款","自动",40.5666666666667,8,67,100.9,0.66,"小于10万","中高级轿车"
"94","其他","外国","2013款","自动",34.5333333333333,8,38,52.6,0.72,"小于10万","中高级轿车"
"95","其他","外国","2010款","自动",62.9,8.1,36.8,84.4,0.44,"小于10万","中高级轿车"
"96","其他","外国","2010款","自动",62.9,8.1,36.8,84.4,0.44,"小于10万","中高级轿车"
"97","宝马3系","外国","2009款","自动",90.3,8.5,18,68,0.26,"小于10万","中高级轿车"
"98","宝马3系","外国","2009款","自动",90.3,8.5,18,68,0.26,"小于10万","中高级轿车"
"99","其他","外国","2010款","自动",82.2,8.7,20,54.1,0.37,"小于10万","中高级轿车"
"100","其他","外国","2010款","自动",82.2,8.7,20,54.1,0.37,"小于10万","中高级轿车"
"101","其他","外国","2006款","自动",90.3,8.8,15,81.4,0.18,"小于10万","中高级轿车"
"102","其他","外国","2012款","自动",57.8333333333333,9.3,26,44.3,0.59,"小于10万","中高级轿车"
"103","其他","外国","2011款","自动",65.9666666666667,10,21.5,42.1,0.51,"大于或等于10万","中高级轿车"
"104","其他","外国","2011款","自动",65.9666666666667,10,21.5,42.1,0.51,"大于或等于10万","中高级轿车"
"105","其他","外国","2010款","自动",75.0666666666667,10.4,15,40.2,0.37,"大于或等于10万","中高级轿车"
"106","其他","外国","2012款","自动",53.7666666666667,11,27.98,51.9,0.54,"大于或等于10万","中高级轿车"
"107","其他","外国","2012款","自动",53.7666666666667,11,27.98,51.9,0.54,"大于或等于10万","中高级轿车"
"108","其他","外国","2008款","自动",86.2333333333333,12.6,13,38.9,0.33,"大于或等于10万","中高级轿车"
"109","其他","外国","2011款","自动",61.9,12.6,27,70.4,0.38,"大于或等于10万","中高级轿车"
"110","其他","外国","2011款","自动",61.9,12.6,27,70.4,0.38,"大于或等于10万","中高级轿车"
"111","其他","外国","2006款","自动",90.3,12.8,10.5,35.6,0.29,"大于或等于10万","中高级轿车"
"112","其他","外国","2011款","自动",64.9333333333333,13,20,39.9,0.5,"大于或等于10万","中高级轿车"
"113","其他","外国","2010款","自动",90.3,14.3,22.5,75.8,0.3,"大于或等于10万","中高级轿车"
"114","其他","外国","2007款","自动",90.3,10,13,43.2,0.3,"大于或等于10万","中高级轿车"
"115","其他","外国","2007款","自动",90.3,10,13,43.2,0.3,"大于或等于10万","中高级轿车"
"116","其他","外国","2007款","自动",82.2,10.1,20,43.2,0.46,"大于或等于10万","中高级轿车"
"117","其他","外国","2014款","自动",32.5,2.4,32,45.6,0.7,"小于10万","中高级轿车"
"118","其他","外国","2010款","自动",77.1,11.2,19.5,45.8,0.43,"大于或等于10万","中高级轿车"
"119","其他","外国","2010款","自动",77.1,11.2,19.5,45.8,0.43,"大于或等于10万","中高级轿车"
"120","其他","外国","2015款","自动",21.3333333333333,5.6,121,148.6,0.81,"小于10万","中高级轿车"
"121","其他","外国","2015款","自动",21.3333333333333,5.6,121,148.6,0.81,"小于10万","中高级轿车"
"122","其他","外国","2010款","自动",54.8,1.3,60,125.2,0.48,"小于10万","中高级轿车"
"123","其他","外国","2013款","自动",31.4666666666667,1.9,27,53.4,0.51,"小于10万","中高级轿车"
"124","其他","外国","2013款","自动",31.4666666666667,1.9,27,53.4,0.51,"小于10万","中高级轿车"
"125","其他","外国","2013款","自动",30.4666666666667,2,41.8,51,0.82,"小于10万","中高级轿车"
"126","其他","外国","2013款","自动",30.4666666666667,2,41.8,51,0.82,"小于10万","中高级轿车"
"127","其他","外国","2013款","自动",37.5333333333333,3.7,45,61.9,0.73,"小于10万","中高级轿车"
"128","其他","外国","2012款","自动",39.5666666666667,3.9,29.88,49.5,0.6,"小于10万","中高级轿车"
