车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
GMC赛威,GMC,外国,2007款,,6L,自动,7座长轴版领袖级(进口),2012/12/1,1.1,59.5,132.4,0.45,小于10万,高级轿车
凯迪拉克凯雷德油电混合,Cadillac,外国,2010款,,6L,无级,(进口),2011/5/1,5.8,60,151.7,0.4,小于10万,高级轿车
凯迪拉克凯雷德 油电混合,Cadillac,外国,2010款,,6L,无级,(进口),2011/5/1,5.8,60,151.7,0.4,小于10万,高级轿车
福特猛禽,Ford,外国,2011款,F-150 SVT Raptor SuperCab ,6.2L,自动,(进口),2014/11/1,2.9,48,71.4,0.67,小于10万,高级轿车
福特猛禽,Ford,外国,2011款,F-150 SVT Raptor SuperCab ,6.2L,自动,(进口),2014/11/1,2.9,48,71.4,0.67,小于10万,高级轿车
福特猛禽,Ford,外国,2011款,F-150SVT,6.2L,自动,(进口),2013/7/1,5,41.5,71.4,0.58,小于10万,高级轿车
福特猛禽,Ford,外国,2011款,F-150 SVT Raptor SuperCab,6.2L,自动,(进口),2013/12/1,5.3,42.5,71.4,0.6,小于10万,高级轿车
福特猛禽,Ford,外国,2011款,F-150 SVT Raptor SuperCab,6.2L,自动,,2013/12/1,5.3,42.5,71.4,0.6,小于10万,高级轿车
奔驰S级,Benz,外国,2010款,S65 AMG,6.0T,自动,(进口),2010/3/1,4.3,100,358,0.28,小于10万,高级轿车
路虎揽胜运动版,Land Rover,外国,2013款,,5L,自动,V8 NA 黑标限量版(进口),2012/12/1,4.1,75,154.2,0.49,小于10万,高级轿车
路虎发现4,Land Rover,外国,2013款,,5L,自动,V8 SE(进口),2013/7/1,5.9,64,114.8,0.56,小于10万,高级轿车
路虎发现4,Land Rover,外国,2013款,,5L,自动,V8 SE(进口),2013/7/1,5.9,64,114.8,0.56,小于10万,高级轿车
路虎揽胜,Land Rover,外国,2012款,,5L,自动,NA(进口),2012/6/1,9.3,95,187.6,0.51,小于10万,高级轿车
路虎揽胜,Land Rover,外国,2012款,,5L,自动,NA(进口),2012/6/1,9.3,95,187.6,0.51,小于10万,高级轿车
路虎揽胜运动版,Land Rover,外国,2010款,,5L,自动,V8 NA HSE(进口),2010/8/1,12,60,151.7,0.4,大于或等于10万,高级轿车
路虎揽胜运动版,Land Rover,外国,2010款,,5L,自动,V8 NA HSE(进口),2010/8/1,12,60,151.7,0.4,大于或等于10万,高级轿车
丰田兰德酷路泽,Toyota,外国,2010款,兰德酷路泽,5.7L,自动,豪华型(进口),2012/9/1,8,80,171.5,0.47,小于10万,高级轿车
GMC赛威,GMC,外国,2014款,,5.3L,自动,1500S(进口),2015/5/1,0.5,135,160.6,0.84,小于10万,高级轿车
路虎揽胜,Land Rover,外国,2012款,,5.0T,自动,V8 SC(进口),2012/9/1,4.3,83,238.6,0.35,小于10万,高级轿车
路虎揽胜,Land Rover,外国,2012款,,5.0T,自动,V8 SC(进口),2012/9/1,4.3,83,238.6,0.35,小于10万,高级轿车
路虎揽胜运动版,Land Rover,外国,2012款,,5.0T,自动,V8 SC HSE(进口),2012/12/1,4.3,120,183.2,0.66,小于10万,高级轿车
路虎揽胜,Land Rover,外国,2012款,,5.0T,自动,V8SC(进口),2011/12/1,6.1,90,238.6,0.38,小于10万,高级轿车
丰田普拉多,Toyota,外国,2010款,普拉多,4L,自动,TX-L,2013/8/1,5.5,48,62.7,0.77,小于10万,中高级轿车
路虎发现4,Land Rover,外国,2010款,,4L,自动,V6 HSE(进口),2010/9/1,5.7,55,93.1,0.59,小于10万,中高级轿车
路虎发现4,Land Rover,外国,2010款,,4L,自动,V6HSE(进口),2010/9/1,5.7,55,93.1,0.59,小于10万,中高级轿车
丰田FJ酷路泽,Toyota,外国,2007款,FJ酷路泽,4L,自动,四驱版(进口),2008/7/1,10.6,29,55.3,0.52,大于或等于10万,中高级轿车
丰田FJ酷路泽,Toyota,外国,2007款,FJ酷路泽,4L,自动,四驱版(进口),2008/7/1,10.6,29,55.3,0.52,大于或等于10万,中高级轿车
保时捷帕纳美拉,Porsche,外国,2010款,帕纳美拉,4.8L,双离合,,2012/12/1,1.9,95,217.5,0.44,小于10万,中高级轿车
保时捷卡宴,Porsche,外国,2011款,卡宴S,4.8L,自动,(进口),2012/2/1,9.9,76,167.4,0.45,小于10万,中高级轿车
奥迪RS5,Audi,外国,2012款,,4.2L,双离合,(进口),2013/3/1,1.2,78,130,0.6,小于10万,中高级轿车
大众辉腾,Volkswagen,外国,2013款,辉腾,4.2L,自动,柏秋纳弗洛版(进口),2013/3/1,2,69.8,204.9,0.34,小于10万,中高级轿车
大众辉腾,Volkswagen,外国,2013款,辉腾,4.2L,自动,柏秋纳弗洛版(进口),2013/3/1,2,69.8,204.9,0.34,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,XT旗舰版,2015/8/1,0.4,35,43.4,0.81,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,XT旗舰版,2015/6/1,1,36.5,43.4,0.84,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,XT旗舰版,2014/4/1,1.1,32.98,43.4,0.76,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,精英型(进口),2013/9/1,1.6,27.3,51,0.54,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,精英型(进口),2013/9/1,1.6,27.3,51,0.54,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,精英型(进口),2013/9/1,2,30,51,0.59,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,精英型(进口),2013/9/1,2,30,51,0.59,小于10万,中高级轿车
现代新胜达,Hyundai,外国,2013款,,3L,自动,7座四驱旗舰版(进口),2014/5/1,2,24.5,38.9,0.63,小于10万,中高级轿车
现代新胜达,Hyundai,外国,2013款,,3L,自动,7座四驱旗舰版(进口),2014/5/1,2,24.5,38.9,0.63,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,530Li,3L,自动,领先型,2012/7/1,2.1,33.2,60.7,0.55,小于10万,中高级轿车
现代新胜达,Hyundai,外国,2013款,,3L,自动,7座四驱豪华版(进口),2013/12/1,2.2,24.5,35.7,0.69,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,GT 豪雅版,2015/2/1,2.5,29.8,40.2,0.74,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,GT 豪雅版,2015/2/1,2.5,29.8,40.2,0.74,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK 300 4MATIC,3L,自动,动感天窗型,2014/11/1,2.5,38,47.5,0.8,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK300 4MATIC,3L,自动,动感天窗型,2014/11/1,2.5,38,47.5,0.8,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,豪华型(进口),2013/7/1,3.4,29.8,54.1,0.55,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2013款,,3L,自动,豪华型(进口),2013/7/1,3.4,29.8,54.1,0.55,小于10万,中高级轿车
奔驰S级,Benz,外国,2012款,S300L ,3L,自动,商务型 Grand Edition(进口),2013/3/1,3.5,59,100.9,0.58,小于10万,中高级轿车
奔驰S级,Benz,外国,2012款,S300L ,3L,自动,商务型 Grand Edition(进口),2013/3/1,3.5,59,100.9,0.58,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2014款,,3L,自动,舒享导航版(进口),2014/3/1,3.6,45,62.9,0.72,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,530Li,3L,自动,豪华型,2012/7/1,3.7,35,68.3,0.51,小于10万,中高级轿车
宝马5系,BMW,外国,2012款,530Li,3L,自动,豪华型,2012/7/1,3.7,35,68.3,0.51,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK300 4MATIC,3L,自动,时尚型,2012/11/1,3.7,30,52.6,0.57,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK 300 4MATIC,3L,自动,时尚型,2012/11/1,3.7,30,52.6,0.57,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2012款,XJL,3L,自动,旗舰商务版(进口),2012/1/1,4.1,49.8,125.7,0.4,小于10万,中高级轿车
捷豹XJ,Jaguar,外国,2012款,XJL,3L,自动,旗舰商务版(进口),2012/1/1,4.1,49.8,125.7,0.4,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2013/4/1,4.1,34,60.7,0.56,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2013/4/1,4.1,34,60.7,0.56,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2012/12/1,4.4,33,60.7,0.54,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2012/12/1,4.4,33,60.7,0.54,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,GT 豪雅版,2015/1/1,4.4,30,40.2,0.75,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,GT豪雅版,2015/1/1,4.4,30,40.2,0.75,小于10万,中高级轿车
宝马7系,BMW,外国,2013款,730Li,3L,自动,豪华型(进口),2014/1/1,4.8,59.8,111.1,0.54,小于10万,中高级轿车
宝马7系,BMW,外国,2013款,730Li,3L,自动,领先型(进口),2013/7/1,4.9,53,100.7,0.53,小于10万,中高级轿车
宝马7系,BMW,外国,2013款,730Li,3L,自动,领先型(进口),2013/7/1,4.9,53,100.7,0.53,小于10万,中高级轿车
宝马5系,BMW,外国,2014款,530Li,3L,自动,风尚设计套装,2013/12/1,5.1,40,69.8,0.57,小于10万,中高级轿车
宝马3系,BMW,外国,2011款,330i 双门轿跑车,3L,自动,(进口),2012/2/1,5.2,25.3,69.9,0.36,小于10万,中高级轿车
宝马3系,BMW,外国,2011款,330i双门轿跑车,3L,自动,(进口),2012/2/1,5.2,25.3,69.9,0.36,小于10万,中高级轿车
奔驰C级,Benz,外国,2013款,C300,3L,自动,时尚型,2013/2/1,5.3,25.8,50.8,0.51,小于10万,中高级轿车
三菱欧蓝德,Mitsubishi,外国,2008款,,3L,自动,精英版(进口),2009/4/1,5.5,10.8,38.4,0.28,小于10万,中高级轿车
三菱欧蓝德,Mitsubishi,外国,2008款,,3L,自动,精英版(进口),2009/4/1,5.5,10.8,38.4,0.28,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,XT 旗舰版,2014/7/1,5.6,31.8,43.4,0.73,小于10万,中高级轿车
别克GL8,Buick,外国,2014款,,3L,自动,XT旗舰版,2014/7/1,5.6,31.8,43.4,0.73,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2012款,GLK300 4MATIC,3L,自动,动感型,2012/9/1,5.7,29.8,44.3,0.67,小于10万,中高级轿车
奔驰E级,Benz,外国,2012款,E300L,3L,自动,优雅型,2012/1/1,5.8,30.5,63.8,0.48,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2012/12/1,5.8,35.2,60.7,0.58,小于10万,中高级轿车
宝马5系,BMW,外国,2013款,530Li,3L,自动,领先型,2012/12/1,5.8,35.2,60.7,0.58,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2011款,GLK 300,3L,自动,四驱时尚型(进口),2010/8/1,6.3,28,53.7,0.52,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK300 4MATIC,3L,自动,动感型,2013/10/1,6.3,34,45.4,0.75,小于10万,中高级轿车
雪铁龙C5,Citroen,外国,2010款,C5,3L,自动,旗舰型,2010/3/1,6.4,13.5,32.4,0.42,小于10万,中高级轿车
奔驰唯雅诺,Benz,外国,2013款,唯雅诺,3L,自动,舒适版,2014/1/1,6.4,33.8,48.7,0.69,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2011款,GLK300,3L,自动,四驱时尚型(进口),2011/8/1,6.5,28.1,53.7,0.52,小于10万,中高级轿车
奔驰R级,Benz,外国,2010款,R300L,3L,自动,商务型（进口）,2012/8/1,6.7,38,75.8,0.5,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2011款,GLK300,3L,自动,四驱动感型(进口),2011/6/1,6.7,25,48.6,0.51,小于10万,中高级轿车
奔驰E级,Benz,外国,2012款,E300L,3L,自动,时尚型,2012/4/1,7.6,30,72.3,0.41,小于10万,中高级轿车
别克GL8,Buick,外国,2011款,,3L,自动,XT 旗舰版,2012/3/1,7.7,23.5,42.1,0.56,小于10万,中高级轿车
别克GL8,Buick,外国,2011款,,3L,自动,XT 旗舰版,2012/3/1,7.7,23.5,42.1,0.56,小于10万,中高级轿车
雷克萨斯IS,Lexus,外国,2009款,IS300,3L,自动,炫动版(进口),2010/3/1,7.8,19,52.5,0.36,小于10万,中高级轿车
雷克萨斯IS,Lexus,外国,2009款,IS300,3L,自动,炫动版(进口),2010/3/1,7.8,19,52.5,0.36,小于10万,中高级轿车
奔驰S级,Benz,外国,2012款,S300L ,3L,自动,商务型Grand Edition(进口),2013/9/1,8,67,100.9,0.66,小于10万,中高级轿车
奔驰S级,Benz,外国,2012款,S300L ,3L,自动,商务型 Grand Edition(进口),2013/9/1,8,67,100.9,0.66,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2013款,GLK300 4MATIC,3L,自动,时尚型(改款),2014/3/1,8,38,52.6,0.72,小于10万,中高级轿车
奔驰M级,Benz,外国,2010款,ML300,3L,自动,四驱版(进口),2011/11/1,8.1,36.8,84.4,0.44,小于10万,中高级轿车
奔驰M级,Benz,外国,2010款,ML300,3L,自动,四驱版(进口),2011/11/1,8.1,36.8,84.4,0.44,小于10万,中高级轿车
宝马3系,BMW,外国,2009款,330i 双门轿跑车,3L,自动,(进口),2009/8/1,8.5,18,68,0.26,小于10万,中高级轿车
宝马3系,BMW,外国,2009款,330i双门轿跑车,3L,自动,(进口),2009/8/1,8.5,18,68,0.26,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2010款,,3L,自动,豪华型(进口),2010/4/1,8.7,20,54.1,0.37,小于10万,中高级轿车
凯迪拉克SRX,Cadillac,外国,2010款,,3L,自动,豪华型(进口),2010/4/1,8.7,20,54.1,0.37,小于10万,中高级轿车
奔驰CLK级,Benz,外国,2006款,CLK280 Coupe,3L,自动,(进口),2009/8/1,8.8,15,81.4,0.18,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2012款,GLK 300 4MATIC,3L,自动,动感型,2012/4/1,9.3,26,44.3,0.59,小于10万,中高级轿车
别克GL8,Buick,外国,2011款,,3L,自动,XT 旗舰版,2011/8/1,10,21.5,42.1,0.51,大于或等于10万,中高级轿车
别克GL8,Buick,外国,2011款,,3L,自动,XT 旗舰版,2011/8/1,10,21.5,42.1,0.51,大于或等于10万,中高级轿车
别克林荫大道,Buick,外国,2010款,,3L,自动,豪华版,2010/11/1,10.4,15,40.2,0.37,大于或等于10万,中高级轿车
三菱帕杰罗,Mitsubishi,外国,2012款,,3L,自动,精英版(进口),2012/8/1,11,27.98,51.9,0.54,大于或等于10万,中高级轿车
三菱帕杰罗,Mitsubishi,外国,2012款,,3L,自动,精英版(进口),2012/8/1,11,27.98,51.9,0.54,大于或等于10万,中高级轿车
别克GL8,Buick,外国,2008款,,3L,自动,GT7座精英版,2009/12/1,12.6,13,38.9,0.33,大于或等于10万,中高级轿车
雷克萨斯GS,Lexus,外国,2011款,GS300,3L,自动,辉煌版(进口),2011/12/1,12.6,27,70.4,0.38,大于或等于10万,中高级轿车
雷克萨斯GS,Lexus,外国,2011款,GS300,3L,自动,辉煌版(进口),2011/12/1,12.6,27,70.4,0.38,大于或等于10万,中高级轿车
别克GL8,Buick,外国,2006款,,3L,自动,LT 7座豪华版,2009/8/1,12.8,10.5,35.6,0.29,大于或等于10万,中高级轿车
别克GL8,Buick,外国,2011款,,3L,自动,GT豪雅版,2011/9/1,13,20,39.9,0.5,大于或等于10万,中高级轿车
奔驰E级,Benz,外国,2010款,E300,3L,自动,时尚型豪华版(进口),2009/8/1,14.3,22.5,75.8,0.3,大于或等于10万,中高级轿车
现代维拉克斯,Hyundai,外国,2007款,,3.8L,自动,豪华型(进口),2009/8/1,10,13,43.2,0.3,大于或等于10万,中高级轿车
现代维拉克斯,Hyundai,外国,2007款,,3.8L,自动,豪华型(进口),2009/8/1,10,13,43.2,0.3,大于或等于10万,中高级轿车
现代维拉克斯,Hyundai,外国,2007款,,3.8L,自动,7座豪华型,2010/4/1,10.1,20,43.2,0.46,大于或等于10万,中高级轿车
英菲尼迪Q50,Infinity,外国,2014款,,3.7L,自动,豪华版(进口),2014/5/1,2.4,32,45.6,0.7,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2010款,,3.7L,自动,(进口),2010/9/1,11.2,19.5,45.8,0.43,大于或等于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2010款,,3.7L,自动,(进口),2010/9/1,11.2,19.5,45.8,0.43,大于或等于10万,中高级轿车
保时捷卡宴,Porsche,外国,2015款,卡宴S,3.6T,自动,(进口),2015/4/1,5.6,121,148.6,0.81,小于10万,中高级轿车
保时捷卡宴,Porsche,外国,2015款,卡宴S,3.6T,自动,(进口),2015/4/1,5.6,121,148.6,0.81,小于10万,中高级轿车
保时捷帕纳美拉,Porsche,外国,2010款,,3.6L,双离合,（进口）,2012/7/1,1.3,60,125.2,0.48,小于10万,中高级轿车
克莱斯勒300C,Chrysler,外国,2013款,,3.6L,自动,尊崇版(进口),2014/6/1,1.9,27,53.4,0.51,小于10万,中高级轿车
克莱斯勒300C,Chrysler,外国,2013款,,3.6L,自动,尊崇版(进口),2014/6/1,1.9,27,53.4,0.51,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2013款,,3.6L,自动,四门,2014/7/1,2,41.8,51,0.82,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2013款,,3.6L,自动,四门 Sa,2014/7/1,2,41.8,51,0.82,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2013款,,3.6L,自动,舒适型(进口),2013/12/1,3.7,45,61.9,0.73,小于10万,中高级轿车
雪佛兰科迈罗,Chevrolet,外国,2012款,,3.6L,自动,传奇性能版(进口),2013/10/1,3.9,29.88,49.5,0.6,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2012款,,3.6L,自动,四门 Sa,2012/4/1,7.8,34,53.2,0.64,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2012款,,3.6L,自动,四门,2012/4/1,7.8,34,53.2,0.64,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2012款,,3.6L,自动,旗舰尊崇版(进口),2012/4/1,8.5,39.8,78.1,0.51,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2012款,,3.6L,自动,旗舰尊崇版(进口),2012/4/1,8.5,39.8,78.1,0.51,小于10万,中高级轿车
